epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.04116722196340561,6.768248558044434,5e-05,0.11847922205924988,6.128493309020996
1,0.11839260905981064,6.150043487548828,5e-05,0.16475096344947815,5.725281715393066
2,0.16348987817764282,5.738245010375977,5e-05,0.20895962417125702,5.308350086212158
3,0.2077028900384903,5.356011390686035,5e-05,0.24521072208881378,4.958414554595947
4,0.23835724592208862,5.046459197998047,5e-05,0.2649572789669037,4.719525337219238
5,0.2537826597690582,4.828499794006348,5e-05,0.28765103220939636,4.441641807556152
6,0.26812732219696045,4.613476753234863,5e-05,0.29560860991477966,4.340500831604004
7,0.28266850113868713,4.454111576080322,5e-05,0.313881516456604,4.088934421539307
8,0.3005501925945282,4.252743244171143,5e-05,0.33775418996810913,3.8709843158721924
9,0.3165651261806488,4.107626914978027,5e-05,0.35013261437416077,3.746828079223633
10,0.3305168151855469,3.929875612258911,5e-05,0.35013261437416077,3.7185962200164795
11,0.34849676489830017,3.7661101818084717,5e-05,0.39846742153167725,3.3513681888580322
12,0.3714875280857086,3.6015896797180176,5e-05,0.41055113077163696,3.199860095977783
13,0.3827863931655884,3.4837372303009033,5e-05,0.42558208107948303,3.078106641769409
14,0.40066811442375183,3.3467681407928467,5e-05,0.4503389298915863,2.935518980026245
15,0.41815680265426636,3.2176897525787354,5e-05,0.4677276611328125,2.8070759773254395
16,0.4400668144226074,3.0604734420776367,5e-05,0.4488653242588043,2.9757022857666016
17,0.44409510493278503,3.017026662826538,5e-05,0.49160036444664,2.6037445068359375
18,0.46865788102149963,2.849890947341919,5e-05,0.5107574462890625,2.4544498920440674
19,0.4874238669872284,2.6921920776367188,5e-05,0.5361037254333496,2.3096892833709717
20,0.4986244738101959,2.6362977027893066,5e-05,0.554081916809082,2.2011194229125977
21,0.5263313055038452,2.471100330352783,5e-05,0.5652814507484436,2.115039587020874
22,0.5364511609077454,2.4217355251312256,5e-05,0.5844385623931885,2.013758659362793
23,0.5598349571228027,2.2867369651794434,5e-05,0.5929855704307556,2.0126044750213623
24,0.5719197988510132,2.197359561920166,5e-05,0.609490156173706,1.864078402519226
25,0.5961878299713135,2.0866167545318604,5e-05,0.6153846383094788,1.8190356492996216
26,0.6075850129127502,2.0244553089141846,5e-05,0.6619510650634766,1.5952850580215454
27,0.6356847882270813,1.9000966548919678,5e-05,0.6855290532112122,1.5236347913742065
28,0.6589703559875488,1.7849406003952026,5e-05,0.7070438861846924,1.3834868669509888
29,0.6838278770446777,1.674334168434143,5e-05,0.7264957427978516,1.319162130355835
30,0.6958144903182983,1.5964763164520264,5e-05,0.7497789859771729,1.1999746561050415
31,0.7035763263702393,1.5742454528808594,5e-05,0.7586206793785095,1.1753438711166382
32,0.7290233969688416,1.4584633111953735,5e-05,0.7848511934280396,1.0814838409423828
33,0.7523089051246643,1.3568907976150513,5e-05,0.8072502017021179,0.9892857074737549
34,0.7700923681259155,1.258313536643982,5e-05,0.823460042476654,0.9107770919799805
35,0.7913146018981934,1.1721367835998535,5e-05,0.8379015326499939,0.8529975414276123
36,0.7961289286613464,1.152290940284729,5e-05,0.8470380306243896,0.8136643171310425
37,0.8104735612869263,1.0885343551635742,5e-05,0.8547008633613586,0.7872100472450256
38,0.7991746664047241,1.1299813985824585,5e-05,0.8659003973007202,0.7233203649520874
39,0.8249164819717407,1.0198904275894165,5e-05,0.8782787919044495,0.676495373249054
40,0.8356258869171143,0.9694215655326843,5e-05,0.8762157559394836,0.6524718403816223
41,0.8522303104400635,0.8947128057479858,5e-05,0.8944886326789856,0.5733216404914856
42,0.8648064732551575,0.8222862482070923,5e-05,0.8983200788497925,0.556641697883606
43,0.8743367791175842,0.7695455551147461,5e-05,0.9045093059539795,0.577951967716217
44,0.8794458508491516,0.754385769367218,5e-05,0.912466824054718,0.47782081365585327
45,0.8841618895530701,0.7252748012542725,5e-05,0.9145299196243286,0.4684588611125946
46,0.8919237852096558,0.6710341572761536,5e-05,0.918656051158905,0.4351283311843872
47,0.8980153203010559,0.6524394750595093,5e-05,0.9233716726303101,0.4246078133583069
48,0.9054824113845825,0.5897462368011475,5e-05,0.9251400232315063,0.3970317244529724
49,0.9213991165161133,0.5199216604232788,5e-05,0.932508111000061,0.3579028844833374
50,0.9307329654693604,0.4856850206851959,5e-05,0.9351606369018555,0.3320430815219879
51,0.9322067499160767,0.4501056969165802,5e-05,0.9437076449394226,0.30674147605895996
52,0.9329927563667297,0.4586181938648224,5e-05,0.9419392943382263,0.29569217562675476
53,0.9371193051338196,0.41836512088775635,5e-05,0.941644549369812,0.301042377948761
54,0.9399685859680176,0.4111952781677246,5e-05,0.9410551190376282,0.3120119273662567
55,0.9407545924186707,0.3986380994319916,5e-05,0.932508111000061,0.3498562276363373
56,0.9403615593910217,0.396041601896286,5e-05,0.9519599080085754,0.2581034004688263
